red,blue,score 
"['[U:1:95372503]', '[U:1:342061447]', '[U:1:105013257]', '[U:1:914240935]', '[U:1:139248838]', '[U:1:307757367]']","['[U:1:402718118]', '[U:1:168737276]', '[U:1:81079996]', '[U:1:1197877]', '[U:1:95707166]', '[U:1:155227384]']","[1, 1]"
"['[U:1:402718118]', '[U:1:904306638]', '[U:1:155136833]', '[U:1:95372503]', '[U:1:342061447]', '[U:1:29086594]']","['[U:1:121079858]', '[U:1:155227384]', '[U:1:914240935]', '[U:1:1007792924]', '[U:1:201456065]', '[U:1:350058571]']","[5, 1]"
"['[U:1:402718118]', '[U:1:95372503]', '[U:1:201456065]', '[U:1:121079858]', '[U:1:342061447]', '[U:1:307757367]']","['[U:1:81079996]', '[U:1:155136833]', '[U:1:1007792924]', '[U:1:904306638]', '[U:1:350058571]', '[U:1:94683089]']","[2, 2]"
"['[U:1:193638340]', '[U:1:1258031600]', '[U:1:453856590]', '[U:1:1110603288]', '[U:1:1278657853]', '[U:1:198377443]']","['[U:1:914240935]', '[U:1:117579832]', '[U:1:990182760]', '[U:1:156440371]', '[U:1:158263311]', '[U:1:978148563]']","[3, 3]"
"['[U:1:219622414]', '[U:1:193638340]', '[U:1:183962091]', '[U:1:1278657853]', '[U:1:1110603288]', '[U:1:110923884]']","['[U:1:990182760]', '[U:1:117579832]', '[U:1:409701962]', '[U:1:158263311]', '[U:1:198377443]', '[U:1:1258031600]', '[U:1:1108040484]']","[3, 4]"
"['[U:1:1108040484]', '[U:1:117579832]', '[U:1:118938526]', '[U:1:409701962]', '[U:1:158263311]', '[U:1:1278657853]']","['[U:1:60959017]', '[U:1:193638340]', '[U:1:110923884]', '[U:1:402718118]', '[U:1:914240935]', '[U:1:990182760]']","[0, 5]"
"['[U:1:87295840]', '[U:1:117579832]', '[U:1:868296991]', '[U:1:978148563]', '[U:1:438002921]', '[U:1:73086130]']","['[U:1:1203006976]', '[U:1:202531898]', '[U:1:1278657853]', '[U:1:990182760]', '[U:1:409701962]', '[U:1:1050919710]']","[1, 2]"
"['[U:1:395380187]', '[U:1:158263311]', '[U:1:914240935]', '[U:1:1007792924]', '[U:1:1268599460]', '[U:1:87295840]']","['[U:1:1082984115]', '[U:1:193638340]', '[U:1:868296991]', '[U:1:409701962]', '[U:1:121079858]', '[U:1:29086594]']","[5, 0]"
"['[U:1:105013257]', '[U:1:198377443]', '[U:1:126226938]', '[U:1:1203006976]', '[U:1:919085644]', '[U:1:128740470]']","['[U:1:990182760]', '[U:1:117579832]', '[U:1:73086130]', '[U:1:166359895]', '[U:1:998239081]', '[U:1:246241288]']","[1, 5]"
"['[U:1:1082984115]', '[U:1:1268599460]', '[U:1:409701962]', '[U:1:395380187]', '[U:1:87295840]', '[U:1:914240935]']","['[U:1:121079858]', '[U:1:317981219]', '[U:1:158263311]', '[U:1:29086594]', '[U:1:1007792924]', '[U:1:868296991]']","[4, 0]"
"['[U:1:105013257]', '[U:1:990182760]', '[U:1:117579832]', '[U:1:73086130]', '[U:1:1203006976]', '[U:1:131400746]']","['[U:1:494260720]', '[U:1:156440371]', '[U:1:118938526]', '[U:1:131062660]', '[U:1:150597945]', '[U:1:103352915]']","[5, 1]"
"['[U:1:73086130]', '[U:1:229064914]', '[U:1:158263311]', '[U:1:29086594]', '[U:1:978148563]', '[U:1:103352915]']","['[U:1:395380187]', '[U:1:990182760]', '[U:1:121079858]', '[U:1:453856590]', '[U:1:131400746]', '[U:1:314449381]']","[0, 5]"
"['[U:1:77996061]', '[U:1:1007792924]', '[U:1:154627863]', '[U:1:1268599460]', '[U:1:166359895]', '[U:1:198377443]']","['[U:1:342061447]', '[U:1:489591700]', '[U:1:868296991]', '[U:1:128740470]', '[U:1:998239081]', '[U:1:919085644]']","[2, 3]"
"['[U:1:154627863]', '[U:1:100621014]', '[U:1:314449381]', '[U:1:249346279]', '[U:1:868296991]', '[U:1:998239081]']","['[U:1:342061447]', '[U:1:213858425]', '[U:1:121079858]', '[U:1:155136833]', '[U:1:302544351]', '[U:1:29086594]']","[2, 2]"
"['[U:1:302544351]', '[U:1:249346279]', '[U:1:77996061]', '[U:1:453856590]', '[U:1:155136833]', '[U:1:342061447]', '[U:1:29086594]']","['[U:1:219622414]', '[U:1:395380187]', '[U:1:314449381]', '[U:1:202531898]', '[U:1:868296991]', '[U:1:117579832]']","[2, 2]"
"['[U:1:100621014]', '[U:1:998239081]', '[U:1:117579832]', '[U:1:155136833]', '[U:1:73086130]', '[U:1:77996061]']","['[U:1:395380187]', '[U:1:87295840]', '[U:1:314449381]', '[U:1:342061447]', '[U:1:219622414]', '[U:1:868296991]']","[5, 1]"
"['[U:1:198377443]', '[U:1:324620866]', '[U:1:62591040]', '[U:1:342061447]', '[U:1:914240935]', '[U:1:116428232]']","['[U:1:87295840]', '[U:1:77996061]', '[U:1:454319943]', '[U:1:350058571]', '[U:1:402718118]', '[U:1:246241288]']","[2, 3]"
"['[U:1:77996061]', '[U:1:342061447]', '[U:1:914240935]', '[U:1:454319943]', '[U:1:296417871]', '[U:1:428241817]']","['[U:1:868296991]', '[U:1:489591700]', '[U:1:198377443]', '[U:1:857409932]', '[U:1:121079858]', '[U:1:919085644]']","[2, 2]"
"['[U:1:38101899]', '[U:1:126226938]', '[U:1:324620866]', '[U:1:155227384]', '[U:1:1116186819]', '[U:1:87295840]', '[U:1:209647313]']","['[U:1:154627863]', '[U:1:438002921]', '[U:1:116428232]', '[U:1:130301058]', '[U:1:105013257]', '[U:1:1229126044]']","[5, 3]"
"['[U:1:77996061]', '[U:1:342061447]', '[U:1:121079858]', '[U:1:296417871]', '[U:1:130663236]', '[U:1:914240935]']","['[U:1:489591700]', '[U:1:454319943]', '[U:1:428241817]', '[U:1:919085644]', '[U:1:868296991]', '[U:1:95707166]']","[2, 1]"
"['[U:1:87295840]', '[U:1:95372503]', '[U:1:130301058]', '[U:1:1116186819]', '[U:1:154627863]', '[U:1:214149442]']","['[U:1:126226938]', '[U:1:155227384]', '[U:1:438002921]', '[U:1:209647313]', '[U:1:116428232]', '[U:1:105013257]']","[2, 4]"
"['[U:1:77996061]', '[U:1:95707166]', '[U:1:919085644]', '[U:1:296417871]', '[U:1:454319943]', '[U:1:161958002]']","['[U:1:229064914]', '[U:1:914240935]', '[U:1:342061447]', '[U:1:868296991]', '[U:1:130663236]', '[U:1:428241817]']","[3, 4]"
"['[U:1:342061447]', '[U:1:129425951]', '[U:1:150077131]', '[U:1:98475202]', '[U:1:205163219]', '[U:1:229064914]']","['[U:1:117579832]', '[U:1:95707166]', '[U:1:395380187]', '[U:1:25546049]', '[U:1:246241288]', '[U:1:81583816]']","[1, 3]"
"['[U:1:342061447]', '[U:1:422224000]', '[U:1:395380187]', '[U:1:213858425]', '[U:1:402718118]', '[U:1:1268599460]', '[U:1:25546049]']","['[U:1:117579832]', '[U:1:904306638]', '[U:1:1128930437]', '[U:1:129425951]', '[U:1:184444257]', '[U:1:1267322885]', '[U:1:350058571]', '[U:1:183962091]']","[1, 3]"
"['[U:1:395380187]', '[U:1:438002921]', '[U:1:422224000]', '[U:1:129425951]', '[U:1:95707166]', '[U:1:184444257]']","['[U:1:219622414]', '[U:1:183962091]', '[U:1:213858425]', '[U:1:402718118]', '[U:1:117579832]', '[U:1:342061447]']","[5, 0]"
"['[U:1:395380187]', '[U:1:219622414]', '[U:1:117579832]', '[U:1:95707166]', '[U:1:44186221]', '[U:1:404440631]']","['[U:1:402718118]', '[U:1:312713985]', '[U:1:342061447]', '[U:1:155227384]', '[U:1:129425951]', '[U:1:904306638]']","[3, 0]"
"['[U:1:312713985]', '[U:1:95372503]', '[U:1:155227384]', '[U:1:342061447]', '[U:1:904306638]', '[U:1:1280960540]']","['[U:1:219622414]', '[U:1:117579832]', '[U:1:402718118]', '[U:1:183962091]', '[U:1:868296991]', '[U:1:302544351]']","[3, 3]"
"['[U:1:302544351]', '[U:1:209647313]', '[U:1:842830053]', '[U:1:117579832]', '[U:1:1280960540]', '[U:1:361202567]']","['[U:1:44079783]', '[U:1:229064914]', '[U:1:155227384]', '[U:1:342061447]', '[U:1:95372503]', '[U:1:438002921]']","[1, 1]"
"['[U:1:302544351]', '[U:1:209647313]', '[U:1:842830053]', '[U:1:117579832]', '[U:1:1280960540]', '[U:1:361202567]']","['[U:1:44079783]', '[U:1:229064914]', '[U:1:155227384]', '[U:1:342061447]', '[U:1:95372503]', '[U:1:438002921]']","[1, 1]"
"['[U:1:1280960540]', '[U:1:155227384]', '[U:1:438002921]', '[U:1:91231051]', '[U:1:95372503]', '[U:1:1267322885]']","['[U:1:302544351]', '[U:1:209647313]', '[U:1:842830053]', '[U:1:156440371]', '[U:1:919085644]', '[U:1:44079783]']","[0, 5]"
"['[U:1:342061447]', '[U:1:91231051]', '[U:1:1207021770]', '[U:1:95372503]', '[U:1:1280960540]', '[U:1:361612154]']","['[U:1:202531898]', '[U:1:162401190]', '[U:1:199442446]', '[U:1:155227384]', '[U:1:84980776]', '[U:1:209647313]']","[2, 1]"
"['[U:1:44079783]', '[U:1:118938526]', '[U:1:246241288]', '[U:1:156440371]', '[U:1:73086130]', '[U:1:489591700]']","['[U:1:312713985]', '[U:1:100621014]', '[U:1:1278657853]', '[U:1:990182760]', '[U:1:213858425]', '[U:1:919085644]']","[4, 2]"
"['[U:1:402718118]', '[U:1:361612154]', '[U:1:95372503]', '[U:1:107304716]', '[U:1:84980776]', '[U:1:342061447]']","['[U:1:162401190]', '[U:1:202531898]', '[U:1:103352915]', '[U:1:199442446]', '[U:1:91231051]', '[U:1:893485704]']","[4, 1]"
"['[U:1:183962091]', '[U:1:213858425]', '[U:1:489591700]', '[U:1:118938526]', '[U:1:919085644]', '[U:1:100621014]']","['[U:1:29086594]', '[U:1:350058571]', '[U:1:312713985]', '[U:1:990182760]', '[U:1:1278657853]', '[U:1:73086130]']","[3, 5]"
"['[U:1:91231051]', '[U:1:402718118]', '[U:1:202531898]', '[U:1:361612154]', '[U:1:84980776]', '[U:1:119225495]']","['[U:1:95372503]', '[U:1:893485704]', '[U:1:842830053]', '[U:1:117579832]', '[U:1:342061447]', '[U:1:199442446]']","[2, 2]"
"['[U:1:402718118]', '[U:1:91231051]', '[U:1:117579832]', '[U:1:842830053]', '[U:1:156501558]', '[U:1:84980776]']","['[U:1:95372503]', '[U:1:342061447]', '[U:1:361612154]', '[U:1:131400746]', '[U:1:998239081]', '[U:1:119225495]']","[0, 5]"
"['[U:1:288196026]', '[U:1:998239081]', '[U:1:402718118]', '[U:1:154482075]', '[U:1:213858425]', '[U:1:91231051]']","['[U:1:342061447]', '[U:1:156501558]', '[U:1:307757367]', '[U:1:904306638]', '[U:1:146679886]', '[U:1:77996061]']","[2, 2]"
"['[U:1:288196026]', '[U:1:842830053]', '[U:1:91231051]', '[U:1:213858425]', '[U:1:154482075]', '[U:1:146679886]']","['[U:1:402718118]', '[U:1:904306638]', '[U:1:998239081]', '[U:1:307757367]', '[U:1:77996061]', '[U:1:84980776]']","[0, 4]"
"['[U:1:978148563]', '[U:1:117579832]', '[U:1:990182760]', '[U:1:73086130]', '[U:1:919085644]', '[U:1:107304716]']","['[U:1:1280960540]', '[U:1:158263311]', '[U:1:130967711]', '[U:1:119225495]', '[U:1:156269909]', '[U:1:217627615]']","[3, 1]"
"['[U:1:131400746]', '[U:1:107304716]', '[U:1:155136833]', '[U:1:919085644]', '[U:1:133515365]', '[U:1:158263311]']","['[U:1:156269909]', '[U:1:117579832]', '[U:1:73086130]', '[U:1:217627615]', '[U:1:990182760]', '[U:1:361612154]']","[3, 3]"
"['[U:1:342061447]', '[U:1:199442446]', '[U:1:1112981307]', '[U:1:990182760]', '[U:1:107304716]', '[U:1:155136833]']","['[U:1:1278657853]', '[U:1:156269909]', '[U:1:438002921]', '[U:1:487334809]', '[U:1:129425951]', '[U:1:1258031600]']","[2, 4]"
"['[U:1:1241493147]', '[U:1:73086130]', '[U:1:288196026]', '[U:1:158263311]', '[U:1:193638340]', '[U:1:1267322885]', '[U:1:146679886]']","['[U:1:317981219]', '[U:1:978148563]', '[U:1:213858425]', '[U:1:131400746]', '[U:1:307757367]', '[U:1:361612154]']","[3, 1]"
"['[U:1:155136833]', '[U:1:342061447]', '[U:1:80969486]', '[U:1:198377443]', '[U:1:487334809]', '[U:1:990182760]']","['[U:1:131062660]', '[U:1:121079858]', '[U:1:199442446]', '[U:1:438002921]', '[U:1:339850851]', '[U:1:1258031600]']","[5, 0]"
"['[U:1:288196026]', '[U:1:213858425]', '[U:1:1258031600]', '[U:1:990182760]', '[U:1:155136833]', '[U:1:80969486]']","['[U:1:146679886]', '[U:1:158263311]', '[U:1:129425951]', '[U:1:487334809]', '[U:1:978148563]', '[U:1:130967711]']","[5, 0]"
"['[U:1:1278657853]', '[U:1:842830053]', '[U:1:158263311]', '[U:1:302544351]', '[U:1:96015935]', '[U:1:117579832]']","['[U:1:146679886]', '[U:1:118938526]', '[U:1:162401190]', '[U:1:342061447]', '[U:1:129425951]', '[U:1:100621014]']","[1, 5]"
"['[U:1:146679886]', '[U:1:162401190]', '[U:1:904306638]', '[U:1:100621014]', '[U:1:129425951]', '[U:1:342061447]']","['[U:1:229064914]', '[U:1:842830053]', '[U:1:1278657853]', '[U:1:110923884]', '[U:1:117579832]', '[U:1:96015935]']","[5, 0]"
"['[U:1:1278657853]', '[U:1:229064914]', '[U:1:117579832]', '[U:1:162401190]', '[U:1:100621014]', '[U:1:110923884]']","['[U:1:146679886]', '[U:1:129425951]', '[U:1:842830053]', '[U:1:96015935]', '[U:1:342061447]', '[U:1:904306638]']","[3, 2]"
"['[U:1:162401190]', '[U:1:97033636]', '[U:1:202531898]', '[U:1:904306638]', '[U:1:404440631]', '[U:1:342061447]']","['[U:1:91231051]', '[U:1:117579832]', '[U:1:110923884]', '[U:1:146679886]', '[U:1:990182760]', '[U:1:73086130]']","[3, 2]"
"['[U:1:119903769]', '[U:1:110923884]', '[U:1:213858425]', '[U:1:162401190]', '[U:1:404440631]', '[U:1:259438873]']","['[U:1:288196026]', '[U:1:91231051]', '[U:1:342061447]', '[U:1:146679886]', '[U:1:73086130]', '[U:1:990182760]']","[1, 5]"
"['[U:1:107925106]', '[U:1:1229126044]', '[U:1:96015935]', '[U:1:998239081]', '[U:1:246241288]', '[U:1:409701962]']","['[U:1:1069849161]', '[U:1:1007792924]', '[U:1:100621014]', '[U:1:1280960540]', '[U:1:118938526]', '[U:1:371007765]']","[4, 1]"
"['[U:1:119903769]', '[U:1:259438873]', '[U:1:1069849161]', '[U:1:371007765]', '[U:1:96015935]', '[U:1:73086130]']","['[U:1:489591700]', '[U:1:107925106]', '[U:1:91231051]', '[U:1:166359895]', '[U:1:110923884]', '[U:1:990182760]']","[1, 2]"
"['[U:1:1291317864]', '[U:1:96015935]', '[U:1:117579832]', '[U:1:342061447]', '[U:1:100621014]', '[U:1:110923884]', '[U:1:296417871]']","['[U:1:1034495755]', '[U:1:91231051]', '[U:1:207531281]', '[U:1:1207021770]', '[U:1:371007765]', '[U:1:990182760]']","[4, 0]"
"['[U:1:107925106]', '[U:1:873952590]', '[U:1:198377443]', '[U:1:166359895]', '[U:1:83930987]', '[U:1:489591700]']","['[U:1:119903769]', '[U:1:73086130]', '[U:1:919085644]', '[U:1:116428232]', '[U:1:1278657853]', '[U:1:409701962]']","[4, 0]"
"['[U:1:156440371]', '[U:1:402718118]', '[U:1:183962091]', '[U:1:84980776]', '[U:1:166359895]', '[U:1:83930987]']","['[U:1:42954103]', '[U:1:87295840]', '[U:1:107925106]', '[U:1:105013257]', '[U:1:150597945]', '[U:1:350058571]']","[4, 1]"
"['[U:1:1007792924]', '[U:1:87181413]', '[U:1:409701962]', '[U:1:185493316]', '[U:1:73086130]', '[U:1:350058571]']","['[U:1:998239081]', '[U:1:155227384]', '[U:1:873952590]', '[U:1:842830053]', '[U:1:207531281]', '[U:1:1278657853]']","[5, 0]"
"['[U:1:188567767]', '[U:1:183962091]', '[U:1:1007792924]', '[U:1:150597945]', '[U:1:214149442]', '[U:1:998239081]']","['[U:1:87295840]', '[U:1:83628842]', '[U:1:105013257]', '[U:1:409701962]', '[U:1:29086594]', '[U:1:207531281]']","[0, 5]"
"['[U:1:842830053]', '[U:1:110923884]', '[U:1:87181413]', '[U:1:371007765]', '[U:1:246241288]', '[U:1:1280960540]']","['[U:1:1278657853]', '[U:1:17011247]', '[U:1:978148563]', '[U:1:1007792924]', '[U:1:73086130]', '[U:1:199442446]']","[1, 0]"
"['[U:1:97033636]', '[U:1:438002921]', '[U:1:842830053]', '[U:1:1278657853]', '[U:1:199442446]', '[U:1:42954103]']","['[U:1:1280960540]', '[U:1:110923884]', '[U:1:117579832]', '[U:1:73086130]', '[U:1:302544351]', '[U:1:919085644]']","[1, 3]"
"['[U:1:438002921]', '[U:1:990182760]', '[U:1:842830053]', '[U:1:1135934388]', '[U:1:73086130]', '[U:1:77996061]']","['[U:1:302544351]', '[U:1:1280960540]', '[U:1:97033636]', '[U:1:117579832]', '[U:1:110923884]', '[U:1:919085644]']","[5, 1]"
"['[U:1:17011247]', '[U:1:1229126044]', '[U:1:87181413]', '[U:1:198377443]', '[U:1:229064914]', '[U:1:307757367]']","['[U:1:183962091]', '[U:1:130967711]', '[U:1:162401190]', '[U:1:158263311]', '[U:1:1050919710]', '[U:1:166359895]']","[2, 2]"
"['[U:1:77996061]', '[U:1:919085644]', '[U:1:438002921]', '[U:1:1135934388]', '[U:1:73086130]', '[U:1:246241288]']","['[U:1:317981219]', '[U:1:117579832]', '[U:1:1280960540]', '[U:1:110923884]', '[U:1:94683089]', '[U:1:29086594]']","[2, 3]"
"['[U:1:342061447]', '[U:1:361202567]', '[U:1:162401190]', '[U:1:103352915]', '[U:1:202531898]', '[U:1:1258031600]']","['[U:1:978148563]', '[U:1:100621014]', '[U:1:207531281]', '[U:1:1162104086]', '[U:1:487334809]', '[U:1:198377443]']","[2, 1]"
"['[U:1:94683089]', '[U:1:29086594]', '[U:1:110923884]', '[U:1:246241288]', '[U:1:117579832]', '[U:1:73086130]']","['[U:1:87295840]', '[U:1:105013257]', '[U:1:77996061]', '[U:1:83628842]', '[U:1:130967711]', '[U:1:131400746]']","[2, 1]"
"['[U:1:150597945]', '[U:1:44186221]', '[U:1:1258031600]', '[U:1:978148563]', '[U:1:342061447]', '[U:1:100621014]', '[U:1:87295840]']","['[U:1:202531898]', '[U:1:171938429]', '[U:1:904306638]', '[U:1:162401190]', '[U:1:198377443]', '[U:1:207531281]']","[3, 4]"
"['[U:1:105013257]', '[U:1:438002921]', '[U:1:168632192]', '[U:1:1128930437]', '[U:1:208665602]', '[U:1:126226938]', '[U:1:87295840]']","['[U:1:77996061]', '[U:1:131400746]', '[U:1:395380187]', '[U:1:1057488316]', '[U:1:110923884]', '[U:1:91231051]']","[1, 2]"
"['[U:1:110923884]', '[U:1:438002921]', '[U:1:150597945]', '[U:1:100621014]', '[U:1:39964201]', '[U:1:485271219]']","['[U:1:91231051]', '[U:1:132170151]', '[U:1:1280960540]', '[U:1:183962091]', '[U:1:202531898]', '[U:1:44186221]']","[0, 5]"
"['[U:1:87295840]', '[U:1:126226938]', '[U:1:105013257]', '[U:1:110923884]', '[U:1:998239081]', '[U:1:395380187]']","['[U:1:131400746]', '[U:1:409701962]', '[U:1:1268599460]', '[U:1:168632192]', '[U:1:87181413]', '[U:1:990182760]']","[0, 3]"
"['[U:1:202531898]', '[U:1:132170151]', '[U:1:150597945]', '[U:1:438002921]', '[U:1:91231051]', '[U:1:29086594]']","['[U:1:100621014]', '[U:1:39964201]', '[U:1:1280960540]', '[U:1:219622414]', '[U:1:485271219]', '[U:1:207531281]']","[1, 3]"
"['[U:1:402718118]', '[U:1:395380187]', '[U:1:409701962]', '[U:1:990182760]', '[U:1:87181413]', '[U:1:110923884]']","['[U:1:342061447]', '[U:1:183962091]', '[U:1:998239081]', '[U:1:131400746]', '[U:1:105013257]', '[U:1:485271219]']","[2, 3]"
"['[U:1:1280960540]', '[U:1:77996061]', '[U:1:213858425]', '[U:1:409701962]', '[U:1:402718118]', '[U:1:105013257]']","['[U:1:87295840]', '[U:1:998239081]', '[U:1:150597945]', '[U:1:110923884]', '[U:1:91231051]', '[U:1:183047241]']","[5, 2]"
"['[U:1:105013257]', '[U:1:213858425]', '[U:1:110923884]', '[U:1:409701962]', '[U:1:155227384]', '[U:1:213852565]']","['[U:1:87295840]', '[U:1:998239081]', '[U:1:96015935]', '[U:1:77996061]', '[U:1:150597945]', '[U:1:91231051]']","[1, 5]"
"['[U:1:87295840]', '[U:1:155227384]', '[U:1:213852565]', '[U:1:96015935]', '[U:1:105013257]', '[U:1:150597945]']","['[U:1:77996061]', '[U:1:213858425]', '[U:1:998239081]', '[U:1:409701962]', '[U:1:91231051]', '[U:1:110923884]']","[5, 1]"
"['[U:1:83628842]', '[U:1:96015935]', '[U:1:131797528]', '[U:1:107304716]', '[U:1:989144808]', '[U:1:213852565]']","['[U:1:155136833]', '[U:1:110923884]', '[U:1:919085644]', '[U:1:205163219]', '[U:1:249346279]', '[U:1:409701962]']","[0, 5]"
"['[U:1:87181413]', '[U:1:409701962]', '[U:1:249346279]', '[U:1:213852565]', '[U:1:131797528]', '[U:1:489591700]']","['[U:1:155227384]', '[U:1:110923884]', '[U:1:273322196]', '[U:1:96015935]', '[U:1:155136833]', '[U:1:989144808]']","[1, 2]"
"['[U:1:100621014]', '[U:1:87181413]', '[U:1:273322196]', '[U:1:110923884]', '[U:1:185493316]', '[U:1:1207021770]']","['[U:1:302544351]', '[U:1:249346279]', '[U:1:387019198]', '[U:1:150597945]', '[U:1:489591700]', '[U:1:155136833]']","[0, 3]"
"['[U:1:110923884]', '[U:1:100621014]', '[U:1:273322196]', '[U:1:249346279]', '[U:1:150597945]', '[U:1:1207021770]']","['[U:1:185493316]', '[U:1:998239081]', '[U:1:121079858]', '[U:1:489591700]', '[U:1:155227384]', '[U:1:1278657853]']","[2, 0]"
"['[U:1:83628842]', '[U:1:296417871]', '[U:1:998239081]', '[U:1:489591700]', '[U:1:350058571]', '[U:1:110923884]']","['[U:1:402718118]', '[U:1:904306638]', '[U:1:273322196]', '[U:1:150597945]', '[U:1:919085644]', '[U:1:249346279]']","[1, 4]"
"['[U:1:402718118]', '[U:1:77996061]', '[U:1:121079858]', '[U:1:155227384]', '[U:1:110923884]', '[U:1:350058571]']","['[U:1:132170151]', '[U:1:185493316]', '[U:1:213858425]', '[U:1:998239081]', '[U:1:296417871]', '[U:1:1007792924]']","[1, 5]"
"['[U:1:87181413]', '[U:1:919085644]', '[U:1:110923884]', '[U:1:107304716]', '[U:1:998239081]', '[U:1:350058571]']","['[U:1:402718118]', '[U:1:884091128]', '[U:1:1007792924]', '[U:1:150597945]', '[U:1:105013257]', '[U:1:84980776]']","[5, 1]"
"['[U:1:198762683]', '[U:1:409701962]', '[U:1:1258031600]', '[U:1:161368092]', '[U:1:87295840]', '[U:1:1280960540]']","['[U:1:1290056453]', '[U:1:1069849161]', '[U:1:352052370]', '[U:1:438002921]', '[U:1:1229126044]', '[U:1:162401190]']","[5, 1]"
"['[U:1:246241288]', '[U:1:117579832]', '[U:1:273322196]', '[U:1:87295840]', '[U:1:438002921]', '[U:1:919085644]']","['[U:1:1290056453]', '[U:1:77996061]', '[U:1:409701962]', '[U:1:73086130]', '[U:1:904306638]', '[U:1:183962091]']","[1, 4]"
"['[U:1:87295840]', '[U:1:77996061]', '[U:1:273322196]', '[U:1:428241817]', '[U:1:246241288]', '[U:1:183962091]']","['[U:1:117579832]', '[U:1:904306638]', '[U:1:454319943]', '[U:1:919085644]', '[U:1:73086130]', '[U:1:1290056453]']","[5, 2]"
"['[U:1:198762683]', '[U:1:162401190]', '[U:1:87181413]', '[U:1:199442446]', '[U:1:1087295217]', '[U:1:1258031600]']","['[U:1:129808893]', '[U:1:978148563]', '[U:1:352052370]', '[U:1:100621014]', '[U:1:44186221]', '[U:1:301648784]']","[2, 2]"
"['[U:1:87295840]', '[U:1:77996061]', '[U:1:273322196]', '[U:1:428241817]', '[U:1:246241288]', '[U:1:183962091]']","['[U:1:117579832]', '[U:1:904306638]', '[U:1:454319943]', '[U:1:919085644]', '[U:1:73086130]', '[U:1:1290056453]']","[5, 2]"
"['[U:1:77996061]', '[U:1:904306638]', '[U:1:454319943]', '[U:1:87295840]', '[U:1:273322196]', '[U:1:1087295217]']","['[U:1:117579832]', '[U:1:919085644]', '[U:1:1290056453]', '[U:1:428241817]', '[U:1:1258031600]', '[U:1:73086130]']","[1, 4]"
"['[U:1:98528050]', '[U:1:1290056453]', '[U:1:1280960540]', '[U:1:130301058]', '[U:1:73086130]', '[U:1:350058571]']","['[U:1:155136833]', '[U:1:275885026]', '[U:1:150597945]', '[U:1:276860114]', '[U:1:1258031600]', '[U:1:126226938]']","[1, 0]"
"['[U:1:98528050]', '[U:1:1280960540]', '[U:1:485271219]', '[U:1:155227384]', '[U:1:155136833]', '[U:1:402718118]']","['[U:1:77996061]', '[U:1:100621014]', '[U:1:276860114]', '[U:1:273322196]', '[U:1:998239081]', '[U:1:198762683]']","[3, 0]"
"['[U:1:131400746]', '[U:1:133515365]', '[U:1:489591700]', '[U:1:29086594]', '[U:1:108814174]', '[U:1:198377443]']","['[U:1:454319943]', '[U:1:919085644]', '[U:1:350058571]', '[U:1:842830053]', '[U:1:73086130]', '[U:1:296417871]']","[1, 5]"
"['[U:1:402718118]', '[U:1:183962091]', '[U:1:198762683]', '[U:1:485271219]', '[U:1:155227384]', '[U:1:409701962]']","['[U:1:100621014]', '[U:1:77996061]', '[U:1:155136833]', '[U:1:276860114]', '[U:1:273322196]', '[U:1:1280960540]']","[3, 3]"
"['[U:1:171938429]', '[U:1:312713985]', '[U:1:87181413]', '[U:1:100621014]', '[U:1:155227384]', '[U:1:150597945]']","['[U:1:198762683]', '[U:1:183962091]', '[U:1:29086594]', '[U:1:105013257]', '[U:1:485271219]', '[U:1:155136833]']","[0, 5]"
"['[U:1:213858425]', '[U:1:409701962]', '[U:1:171938429]', '[U:1:155136833]', '[U:1:350058571]', '[U:1:73086130]']","['[U:1:131400746]', '[U:1:402718118]', '[U:1:77996061]', '[U:1:198762683]', '[U:1:238849269]', '[U:1:1241493147]']","[0, 5]"
"['[U:1:402718118]', '[U:1:150597945]', '[U:1:155227384]', '[U:1:105013257]', '[U:1:155136833]', '[U:1:485271219]']","['[U:1:171938429]', '[U:1:312713985]', '[U:1:409701962]', '[U:1:86972215]', '[U:1:87181413]', '[U:1:350058571]']","[1, 4]"
"['[U:1:1164669412]', '[U:1:87181413]', '[U:1:155227384]', '[U:1:868296991]', '[U:1:157537683]', '[U:1:1241493147]']","['[U:1:1093421990]', '[U:1:38101899]', '[U:1:1278657853]', '[U:1:105013257]', '[U:1:485271219]', '[U:1:130301058]']","[1, 5]"
"['[U:1:157537683]', '[U:1:1007792924]', '[U:1:155227384]', '[U:1:1258031600]', '[U:1:122217817]', '[U:1:485271219]']","['[U:1:998239081]', '[U:1:1094264912]', '[U:1:207531281]', '[U:1:1278657853]', '[U:1:150597945]', '[U:1:1164669412]']","[5, 0]"
"['[U:1:105013257]', '[U:1:130301058]', '[U:1:207531281]', '[U:1:122217817]', '[U:1:157537683]', '[U:1:485271219]']","['[U:1:1007792924]', '[U:1:1258031600]', '[U:1:155227384]', '[U:1:1164669412]', '[U:1:307757367]', '[U:1:154627863]']","[4, 0]"
"['[U:1:87295840]', '[U:1:246241288]', '[U:1:438002921]', '[U:1:1007792924]', '[U:1:73086130]', '[U:1:157537683]']","['[U:1:176300678]', '[U:1:990182760]', '[U:1:1290056453]', '[U:1:1229126044]', '[U:1:209647313]', '[U:1:1241493147]']","[1, 1]"
