red,blue,score
"['[U:1:453856590]', '[U:1:317981219]', '[U:1:489591700]', '[U:1:166359895]', '[U:1:95707166]', '[U:1:1157668793]']","['[U:1:168737276]', '[U:1:457489636]', '[U:1:1258031600]', '[U:1:1278657853]', '[U:1:485271219]', '[U:1:307757367]']","[5, 0]"
"['[U:1:302544351]', '[U:1:1229126044]', '[U:1:62591040]', '[U:1:183962091]', '[U:1:1050919710]', '[U:1:73086130]']","['[U:1:457489636]', '[U:1:932435543]', '[U:1:438002921]', '[U:1:1157668793]', '[U:1:95707166]', '[U:1:1108040484]']","[5, 0]"
"['[U:1:17011247]', '[U:1:168737276]', '[U:1:430849763]', '[U:1:1229126044]', '[U:1:1050919710]', '[U:1:296417871]']","['[U:1:95372503]', '[U:1:183962091]', '[U:1:485271219]', '[U:1:1034495755]', '[U:1:128740470]', '[U:1:95707166]']","[4, 1]"
"['[U:1:84980776]', '[U:1:125098066]', '[U:1:173464252]', '[U:1:409701962]', '[U:1:314449381]', '[U:1:307757367]', '[U:1:118938526]']","['[U:1:438002921]', '[U:1:198377443]', '[U:1:317981219]', '[U:1:1269167570]', '[U:1:1278657853]', '[U:1:350058571]', '[U:1:914240935]']","[2, 3]"
"['[U:1:312713985]', '[U:1:131400746]', '[U:1:1007792924]', '[U:1:207531281]', '[U:1:1057488316]', '[U:1:118938526]', '[U:1:1108040484]']","['[U:1:86972215]', '[U:1:289877780]', '[U:1:229398251]', '[U:1:116428232]', '[U:1:156501558]', '[U:1:158731565]']","[0, 4]"
"['[U:1:1290056453]', '[U:1:246241288]', '[U:1:361612154]', '[U:1:121705589]', '[U:1:155227384]', '[U:1:183962091]']","['[U:1:1207021770]', '[U:1:198377443]', '[U:1:288196026]', '[U:1:84980776]', '[U:1:62591040]', '[U:1:157883802]', '[U:1:402718118]']","[0, 3]"
"['[U:1:1108040484]', '[U:1:117579832]', '[U:1:1052789333]', '[U:1:1057488316]', '[U:1:229398251]', '[U:1:158731565]']","['[U:1:402718118]', '[U:1:156501558]', '[U:1:131400746]', '[U:1:86972215]', '[U:1:1007792924]', '[U:1:321734144]']","[0, 5]"
"['[U:1:131400746]', '[U:1:86972215]', '[U:1:155227384]', '[U:1:52815207]', '[U:1:428241817]', '[U:1:213858425]']","['[U:1:288196026]', '[U:1:402718118]', '[U:1:1052789333]', '[U:1:84980776]', '[U:1:1290056453]', '[U:1:116428232]']","[4, 0]"
"['[U:1:73086130]', '[U:1:117579832]', '[U:1:288196026]', '[U:1:361202567]', '[U:1:289877780]', '[U:1:103352915]']","['[U:1:842830053]', '[U:1:932435543]', '[U:1:84980776]', '[U:1:100437460]', '[U:1:159858279]', '[U:1:77523499]']","[3, 1]"
"['[U:1:842830053]', '[U:1:159858279]', '[U:1:117579832]', '[U:1:183962091]', '[U:1:73086130]', '[U:1:361202567]']","['[U:1:103352915]', '[U:1:317981219]', '[U:1:121705589]', '[U:1:198377443]', '[U:1:914240935]', '[U:1:84980776]']","[1, 5]"
"['[U:1:159858279]', '[U:1:289877780]', '[U:1:117579832]', '[U:1:288196026]', '[U:1:84980776]', '[U:1:118938526]']","['[U:1:183962091]', '[U:1:932435543]', '[U:1:842830053]', '[U:1:103352915]', '[U:1:1007792924]', '[U:1:73086130]']","[5, 3]"
"['[U:1:118938526]', '[U:1:95372503]', '[U:1:317981219]', '[U:1:168737276]', '[U:1:198377443]', '[U:1:919085644]']","['[U:1:183962091]', '[U:1:1007792924]', '[U:1:914240935]', '[U:1:117579832]', '[U:1:84980776]', '[U:1:73086130]']","[4, 1]"
"['[U:1:158263311]', '[U:1:108814174]', '[U:1:98528050]', '[U:1:914240935]', '[U:1:133515365]', '[U:1:485271219]']","['[U:1:155227384]', '[U:1:454319943]', '[U:1:296417871]', '[U:1:361202567]', '[U:1:198377443]', '[U:1:919085644]', '[U:1:1269167570]']","[5, 1]"
"['[U:1:842830053]', '[U:1:213858425]', '[U:1:1007792924]', '[U:1:62591040]', '[U:1:1269167570]', '[U:1:29086594]']","['[U:1:118938526]', '[U:1:17011247]', '[U:1:121079858]', '[U:1:468494252]', '[U:1:350058571]', '[U:1:1278657853]']","[0, 3]"
"['[U:1:98528050]', '[U:1:108814174]', '[U:1:454319943]', '[U:1:919085644]', '[U:1:198377443]', '[U:1:296417871]']","['[U:1:155227384]', '[U:1:914240935]', '[U:1:166359895]', '[U:1:361202567]', '[U:1:485271219]', '[U:1:158263311]']","[3, 0]"
"['[U:1:842830053]', '[U:1:1278657853]', '[U:1:213858425]', '[U:1:1269167570]', '[U:1:409701962]', '[U:1:468494252]']","['[U:1:1007792924]', '[U:1:29086594]', '[U:1:121079858]', '[U:1:350058571]', '[U:1:1258031600]', '[U:1:402718118]']","[0, 5]"
"['[U:1:842830053]', '[U:1:155227384]', '[U:1:1007792924]', '[U:1:1278657853]', '[U:1:103352915]', '[U:1:350058571]']","['[U:1:402718118]', '[U:1:219622414]', '[U:1:409701962]', '[U:1:1258031600]', '[U:1:121079858]', '[U:1:84980776]']","[0, 5]"
"['[U:1:402718118]', '[U:1:1258031600]', '[U:1:29086594]', '[U:1:350058571]', '[U:1:155227384]', '[U:1:207531281]']","['[U:1:219622414]', '[U:1:842830053]', '[U:1:84980776]', '[U:1:103352915]', '[U:1:409701962]', '[U:1:108814174]']","[2, 2]"
"['[U:1:118938526]', '[U:1:150597945]', '[U:1:84980776]', '[U:1:108814174]', '[U:1:29086594]', '[U:1:52815207]']","['[U:1:312713985]', '[U:1:273966724]', '[U:1:147931025]', '[U:1:155227384]', '[U:1:207531281]', '[U:1:296417871]']","[1, 3]"
"['[U:1:155136833]', '[U:1:312713985]', '[U:1:150597945]', '[U:1:108814174]', '[U:1:296417871]', '[U:1:155227384]']","['[U:1:118938526]', '[U:1:121705589]', '[U:1:207531281]', '[U:1:131400746]', '[U:1:52815207]', '[U:1:147931025]']","[5, 0]"
"['[U:1:131400746]', '[U:1:121705589]', '[U:1:147931025]', '[U:1:118938526]', '[U:1:150597945]', '[U:1:296417871]']","['[U:1:52815207]', '[U:1:155227384]', '[U:1:155136833]', '[U:1:312713985]', '[U:1:207531281]', '[U:1:108814174]']","[3, 2]"
"['[U:1:146679886]', '[U:1:219622414]', '[U:1:842830053]', '[U:1:1203006976]', '[U:1:489591700]', '[U:1:183962091]']","['[U:1:978148563]', '[U:1:314449381]', '[U:1:96168327]', '[U:1:95707166]', '[U:1:139248838]', '[U:1:1157668793]']","[3, 2]"
"['[U:1:117579832]', '[U:1:116428232]', '[U:1:489591700]', '[U:1:140848978]', '[U:1:1278657853]', '[U:1:156440371]']","['[U:1:155227384]', '[U:1:857409932]', '[U:1:260352292]', '[U:1:402718118]', '[U:1:350058571]', '[U:1:95707166]']","[2, 0]"
"['[U:1:260352292]', '[U:1:117579832]', '[U:1:95707166]', '[U:1:1052789333]', '[U:1:1108040484]', '[U:1:116428232]']","['[U:1:402718118]', '[U:1:219622414]', '[U:1:103352915]', '[U:1:155227384]', '[U:1:1278657853]', '[U:1:485271219]']","[1, 1]"
"['[U:1:402718118]', '[U:1:117579832]', '[U:1:454319943]', '[U:1:1093421990]', '[U:1:118938526]', '[U:1:350058571]']","['[U:1:1278657853]', '[U:1:155227384]', '[U:1:213858425]', '[U:1:116428232]', '[U:1:95707166]', '[U:1:296417871]']","[4, 3]"
"['[U:1:117579832]', '[U:1:207531281]', '[U:1:454319943]', '[U:1:350058571]', '[U:1:73086130]', '[U:1:1093421990]']","['[U:1:103352915]', '[U:1:402718118]', '[U:1:155227384]', '[U:1:84980776]', '[U:1:95707166]', '[U:1:296417871]']","[1, 3]"
"['[U:1:130663236]', '[U:1:84980776]', '[U:1:147931025]', '[U:1:166359895]', '[U:1:207531281]', '[U:1:108814174]']","['[U:1:103352915]', '[U:1:95707166]', '[U:1:183047241]', '[U:1:454319943]', '[U:1:73086130]', '[U:1:296417871]']","[1, 4]"
"['[U:1:207531281]', '[U:1:213858425]', '[U:1:296417871]', '[U:1:217627615]', '[U:1:192479165]', '[U:1:108814174]']","['[U:1:219622414]', '[U:1:130663236]', '[U:1:166359895]', '[U:1:147931025]', '[U:1:454319943]', '[U:1:966369414]']","[5, 1]"
"['[U:1:146679886]', '[U:1:966369414]', '[U:1:91231051]', '[U:1:842830053]', '[U:1:998239081]', '[U:1:108814174]']","['[U:1:118938526]', '[U:1:1094264912]', '[U:1:155227384]', '[U:1:138808374]', '[U:1:25546049]', '[U:1:105013257]']","[5, 0]"
"['[U:1:483032880]', '[U:1:1082984115]', '[U:1:116428232]', '[U:1:443873947]', '[U:1:978148563]', '[U:1:919085644]']","['[U:1:317981219]', '[U:1:219622414]', '[U:1:842830053]', '[U:1:1278657853]', '[U:1:79782244]', '[U:1:208665602]']","[0, 4]"
"['[U:1:402718118]', '[U:1:100621014]', '[U:1:198377443]', '[U:1:1280960540]', '[U:1:183962091]', '[U:1:155227384]']","['[U:1:978148563]', '[U:1:842830053]', '[U:1:116428232]', '[U:1:1052789333]', '[U:1:307757367]', '[U:1:246241288]']","[5, 0]"
"['[U:1:208665602]', '[U:1:219622414]', '[U:1:1082984115]', '[U:1:296417871]', '[U:1:52815207]', '[U:1:454319943]']","['[U:1:79782244]', '[U:1:483032880]', '[U:1:443873947]', '[U:1:213858425]', '[U:1:919085644]', '[U:1:62591040]']","[1, 5]"
"['[U:1:100621014]', '[U:1:402718118]', '[U:1:116428232]', '[U:1:183962091]', '[U:1:842830053]', '[U:1:1108040484]']","['[U:1:1052789333]', '[U:1:1280960540]', '[U:1:198377443]', '[U:1:155227384]', '[U:1:156501558]', '[U:1:1110603288]']","[1, 1]"
"['[U:1:402718118]', '[U:1:156501558]', '[U:1:1229126044]', '[U:1:52815207]', '[U:1:116428232]', '[U:1:44186221]']","['[U:1:1052789333]', '[U:1:1007792924]', '[U:1:118938526]', '[U:1:155227384]', '[U:1:1108040484]', '[U:1:485271219]']","[5, 0]"
"['[U:1:998239081]', '[U:1:118938526]', '[U:1:213858425]', '[U:1:117579832]', '[U:1:402718118]', '[U:1:164800184]']","['[U:1:1007792924]', '[U:1:313247268]', '[U:1:130301058]', '[U:1:288196026]', '[U:1:95707166]', '[U:1:155227384]']","[4, 2]"
"['[U:1:998239081]', '[U:1:154627863]', '[U:1:1007792924]', '[U:1:485271219]', '[U:1:68037296]', '[U:1:155227384]']","['[U:1:118938526]', '[U:1:117579832]', '[U:1:402718118]', '[U:1:213858425]', '[U:1:312713985]', '[U:1:409701962]']","[1, 3]"
"['[U:1:402718118]', '[U:1:1007792924]', '[U:1:95707166]', '[U:1:155227384]', '[U:1:154627863]', '[U:1:73086130]']","['[U:1:117579832]', '[U:1:842830053]', '[U:1:130301058]', '[U:1:998239081]', '[U:1:52815207]', '[U:1:409701962]', '[U:1:485271219]']","[1, 3]"
"['[U:1:117579832]', '[U:1:131400746]', '[U:1:169764222]', '[U:1:842830053]', '[U:1:198377443]', '[U:1:73086130]']","['[U:1:998239081]', '[U:1:52815207]', '[U:1:95707166]', '[U:1:154627863]', '[U:1:130301058]', '[U:1:485271219]']","[5, 1]"
"['[U:1:131400746]', '[U:1:842830053]', '[U:1:169764222]', '[U:1:130301058]', '[U:1:121705589]', '[U:1:485271219]']","['[U:1:312713985]', '[U:1:998239081]', '[U:1:95707166]', '[U:1:154627863]', '[U:1:108814174]', '[U:1:52815207]']","[2, 4]"
"['[U:1:161368092]', '[U:1:82009524]', '[U:1:288196026]', '[U:1:169764222]', '[U:1:914240935]', '[U:1:314449381]']","['[U:1:209647313]', '[U:1:317981219]', '[U:1:1052789333]', '[U:1:159858279]', '[U:1:468494252]', '[U:1:73086130]']","[3, 4]"
"['[U:1:100621014]', '[U:1:25546049]', '[U:1:169764222]', '[U:1:156440371]', '[U:1:361202567]', '[U:1:186740995]']","['[U:1:1007792924]', '[U:1:317981219]', '[U:1:314449381]', '[U:1:1278657853]', '[U:1:198377443]', '[U:1:166359895]']","[3, 0]"
"['[U:1:468494252]', '[U:1:161368092]', '[U:1:73086130]', '[U:1:44079783]', '[U:1:307757367]', '[U:1:312713985]']","['[U:1:209647313]', '[U:1:288196026]', '[U:1:121705589]', '[U:1:131400746]', '[U:1:117579832]', '[U:1:159858279]']","[5, 2]"
"['[U:1:483032880]', '[U:1:1007792924]', '[U:1:914240935]', '[U:1:186740995]', '[U:1:198377443]', '[U:1:361202567]']","['[U:1:169764222]', '[U:1:100621014]', '[U:1:1278657853]', '[U:1:25546049]', '[U:1:317981219]', '[U:1:350058571]']","[1, 5]"
"['[U:1:483032880]', '[U:1:84980776]', '[U:1:485271219]', '[U:1:95707166]', '[U:1:44079783]', '[U:1:302544351]']","['[U:1:361202567]', '[U:1:117579832]', '[U:1:430849763]', '[U:1:100621014]', '[U:1:1278657853]', '[U:1:73086130]', '[U:1:246241288]']","[3, 3]"
"['[U:1:121705589]', '[U:1:1258031600]', '[U:1:82009524]', '[U:1:453856590]', '[U:1:62591040]', '[U:1:998239081]']","['[U:1:119903769]', '[U:1:100621014]', '[U:1:159858279]', '[U:1:914240935]', '[U:1:259438873]', '[U:1:302544351]']","[2, 1]"
"['[U:1:1007792924]', '[U:1:213858425]', '[U:1:84980776]', '[U:1:919085644]', '[U:1:198377443]', '[U:1:183962091]']","['[U:1:207531281]', '[U:1:485271219]', '[U:1:317981219]', '[U:1:259438873]', '[U:1:998239081]', '[U:1:307757367]']","[1, 5]"
"['[U:1:29086594]', '[U:1:126226938]', '[U:1:169764222]', '[U:1:118938526]', '[U:1:139248838]', '[U:1:350058571]']","['[U:1:485271219]', '[U:1:155227384]', '[U:1:914240935]', '[U:1:302544351]', '[U:1:1007792924]', '[U:1:207531281]']","[5, 0]"
"['[U:1:146679886]', '[U:1:1007792924]', '[U:1:169764222]', '[U:1:155227384]', '[U:1:236158978]', '[U:1:350058571]']","['[U:1:129066000]', '[U:1:1291317864]', '[U:1:312713985]', '[U:1:302544351]', '[U:1:139248838]', '[U:1:485271219]']","[1, 4]"
"['[U:1:914240935]', '[U:1:146679886]', '[U:1:1007792924]', '[U:1:155227384]', '[U:1:485271219]', '[U:1:350058571]']","['[U:1:29086594]', '[U:1:129066000]', '[U:1:207531281]', '[U:1:1291317864]', '[U:1:126226938]', '[U:1:312713985]']","[2, 4]"
"['[U:1:339024341]', '[U:1:87181413]', '[U:1:155227384]', '[U:1:126226938]', '[U:1:146679886]', '[U:1:129066000]']","['[U:1:402718118]', '[U:1:1291317864]', '[U:1:207531281]', '[U:1:1007792924]', '[U:1:236158978]', '[U:1:350058571]']","[5, 2]"
"['[U:1:207531281]', '[U:1:169764222]', '[U:1:213858425]', '[U:1:485271219]', '[U:1:296417871]', '[U:1:52815207]']","['[U:1:842830053]', '[U:1:87181413]', '[U:1:146679886]', '[U:1:402718118]', '[U:1:164469931]', '[U:1:1278657853]']","[2, 2]"
"['[U:1:118938526]', '[U:1:312713985]', '[U:1:842830053]', '[U:1:131206617]', '[U:1:87181413]', '[U:1:164469931]']","['[U:1:146679886]', '[U:1:402718118]', '[U:1:169764222]', '[U:1:164800184]', '[U:1:207531281]', '[U:1:229064914]']","[4, 1]"
"['[U:1:914240935]', '[U:1:208665602]', '[U:1:339024341]', '[U:1:176300678]', '[U:1:116428232]', '[U:1:94683089]', '[U:1:246241288]']","['[U:1:1050919710]', '[U:1:229064914]', '[U:1:198377443]', '[U:1:307757367]', '[U:1:468494252]', '[U:1:1278657853]']","[2, 2]"
"['[U:1:246241288]', '[U:1:468494252]', '[U:1:842830053]', '[U:1:339024341]', '[U:1:489591700]', '[U:1:198377443]']","['[U:1:229064914]', '[U:1:919085644]', '[U:1:1110603288]', '[U:1:116428232]', '[U:1:207531281]', '[U:1:350058571]']","[0, 2]"
"['[U:1:1229126044]', '[U:1:914240935]', '[U:1:116428232]', '[U:1:296417871]', '[U:1:485271219]', '[U:1:198377443]']","['[U:1:207531281]', '[U:1:100621014]', '[U:1:87181413]', '[U:1:489591700]', '[U:1:842830053]', '[U:1:342061447]']","[5, 0]"
